bs_price=48.0494,bs_delta=1
num_paths,price,delta
100,47.9627,0.998266
250,47.7448,0.993907
500,47.8351,0.995714
1000,48.3435,1.00588
2500,48.3311,1.00563
5000,48.1578,1.00217
10000,48.1051,1.00111
